locus_tag	ftype	gene	EC_number	product
BDKBJLID_00578	CDS		2.1.1.297	release factor glutamine methyltransferase
BDKBJLID_00578	gene			
BDKBJLID_00579	CDS	prfA		protein chain release factor A
BDKBJLID_00579	gene	prfA		
BDKBJLID_00580	CDS	rpmE		ribosomal protein L31
BDKBJLID_00580	gene	rpmE		
BDKBJLID_00581	CDS			transcription termination factor rho
BDKBJLID_00581	gene			
BDKBJLID_00582	CDS			cytochrome c class I
BDKBJLID_00582	gene			
	sig_peptide			putative signal peptide
BDKBJLID_00583	CDS			Acetoin utilization deacetylase AcuC
BDKBJLID_00583	gene			
BDKBJLID_00584	CDS			hypothetical protein
BDKBJLID_00584	gene			
BDKBJLID_00585	CDS			hypothetical protein
BDKBJLID_00585	gene			
BDKBJLID_00586	CDS	fbp		fructose-1,6-bisphosphatase
BDKBJLID_00586	gene	fbp		
BDKBJLID_00587	CDS			hypothetical protein
BDKBJLID_00587	gene			
BDKBJLID_00588	CDS			aldehyde dehydrogenase
BDKBJLID_00588	gene			
BDKBJLID_00589	CDS			hypothetical protein
BDKBJLID_00589	gene			
BDKBJLID_00590	CDS			putative alternative thymidylate synthase
BDKBJLID_00590	gene			
BDKBJLID_00591	CDS			phosphate uptake regulator
BDKBJLID_00591	gene			
BDKBJLID_00592	CDS			ABC-type phosphate transport system, ATPase component
BDKBJLID_00592	gene			
BDKBJLID_00593	CDS			ABC-type phosphate transport system, permease component,pstA
BDKBJLID_00593	gene			
BDKBJLID_00594	CDS			phosphate ABC transporter permease
BDKBJLID_00594	gene			
BDKBJLID_00595	CDS			hypothetical protein
BDKBJLID_00595	gene			
BDKBJLID_00596	CDS	pstS1		ABC-type phosphate transport system, periplasmic component
BDKBJLID_00596	gene	pstS1		
BDKBJLID_00597	CDS			hypothetical protein
BDKBJLID_00597	gene			
BDKBJLID_00598	CDS	ompR2		putative two component transcriptional regulator, winged helix family
BDKBJLID_00598	gene	ompR2		
BDKBJLID_00599	CDS			hypothetical protein
BDKBJLID_00599	gene			
	sig_peptide			putative signal peptide
BDKBJLID_00600	CDS			hypothetical protein
BDKBJLID_00600	gene			
BDKBJLID_00601	CDS			adenylosuccinate synthase
BDKBJLID_00601	gene			
BDKBJLID_00602	CDS			hypothetical protein
BDKBJLID_00602	gene			
BDKBJLID_00603	CDS			nitroreductase
BDKBJLID_00603	gene			
BDKBJLID_00604	CDS			putative unusual protein kinase
BDKBJLID_00604	gene			
BDKBJLID_00605	CDS	radC		DNA repair protein (RadC)
BDKBJLID_00605	gene	radC		
BDKBJLID_00606	CDS		3.6.1.27	undecaprenyl-diphosphatase
BDKBJLID_00606	gene			
BDKBJLID_00607	CDS			Putative zinc- or iron-chelating domain-containing protein
BDKBJLID_00607	gene			
BDKBJLID_00608	CDS	tetH2		outer membrane protein assembly factor BamB
BDKBJLID_00608	gene	tetH2		
BDKBJLID_00609	CDS			SmpA / OmlA family protein
BDKBJLID_00609	gene			
BDKBJLID_00610	CDS			membrane carboxypeptidase
BDKBJLID_00610	gene			
BDKBJLID_00611	tRNA			tRNA-Gln(ctg)
BDKBJLID_00611	gene			
BDKBJLID_00612	CDS		3.2.1.4	Cellulase family 8
BDKBJLID_00612	gene			
BDKBJLID_00613	CDS			cellulose synthase subunit
BDKBJLID_00613	gene			
BDKBJLID_00614	CDS			PilZ domain-containing protein
BDKBJLID_00614	gene			
BDKBJLID_00615	CDS			transposase, IS5 family
BDKBJLID_00615	gene			
BDKBJLID_00616	CDS			Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase
BDKBJLID_00616	gene			
BDKBJLID_00617	CDS			Tetratricopeptide repeat-containing protein
BDKBJLID_00617	gene			
BDKBJLID_00618	CDS			Tetratricopeptide repeat-containing protein
BDKBJLID_00618	gene			
BDKBJLID_00619	CDS			Major Facilitator Superfamily protein
BDKBJLID_00619	gene			
BDKBJLID_00620	CDS			nitrogen regulatory protein PII
BDKBJLID_00620	gene			
BDKBJLID_00621	CDS			hypothetical protein
BDKBJLID_00621	gene			
BDKBJLID_00622	CDS		1.6.5.3	NADH-quinone oxidoreductase subunit M
BDKBJLID_00622	gene			
BDKBJLID_00623	CDS			NADH ubiquinone oxidoreductase subunit 5
BDKBJLID_00623	gene			
BDKBJLID_00624	CDS			nif-specific regulatory protein
BDKBJLID_00624	gene			
BDKBJLID_00625	CDS			flagellar motor switch protein,fliM
BDKBJLID_00625	gene			
BDKBJLID_00626	CDS			secretion protein HlyD
BDKBJLID_00626	gene			
BDKBJLID_00627	CDS			putative ABC transporter, permease protein
BDKBJLID_00627	gene			
BDKBJLID_00628	CDS			ABC transporter ATP-binding protein
BDKBJLID_00628	gene			
BDKBJLID_00629	CDS			inorganic pyrophosphatase
BDKBJLID_00629	gene			
BDKBJLID_00630	CDS			hypothetical protein
BDKBJLID_00630	gene			
BDKBJLID_00631	CDS			hypothetical protein
BDKBJLID_00631	gene			
BDKBJLID_00632	CDS			TonB-dependent receptor
BDKBJLID_00632	gene			
BDKBJLID_00633	CDS			hypothetical protein
BDKBJLID_00633	gene			
BDKBJLID_00634	CDS			ADP-heptose:LPS heptosyltransferase
BDKBJLID_00634	gene			
BDKBJLID_00635	CDS			CgeB
BDKBJLID_00635	gene			
BDKBJLID_00636	CDS			ADP-heptose:LPS heptosyltransferase
BDKBJLID_00636	gene			
BDKBJLID_00637	CDS			SAM-dependent methyltransferase
BDKBJLID_00637	gene			
BDKBJLID_00638	CDS			Glycosyl transferases group 1
BDKBJLID_00638	gene			
BDKBJLID_00639	CDS			hypothetical protein
BDKBJLID_00639	gene			
BDKBJLID_00640	CDS			flagellin-specific chaperone FliS
BDKBJLID_00640	gene			
BDKBJLID_00641	CDS	fliD		flagellar capping protein
BDKBJLID_00641	gene	fliD		
BDKBJLID_00642	CDS	fliC1		flagellin
BDKBJLID_00642	gene	fliC1		
BDKBJLID_00643	CDS	fliW		flagellar assembly factor FliW
BDKBJLID_00643	gene	fliW		
BDKBJLID_00644	CDS			putative carbon storage regulator (CsrA)
BDKBJLID_00644	gene			
BDKBJLID_00645	CDS	flgL		flagellar hook-associated protein(FlgL)/Flagellin
BDKBJLID_00645	gene	flgL		
BDKBJLID_00646	CDS	flgK		flagellar hook-associated protein(FlgK)
BDKBJLID_00646	gene	flgK		
BDKBJLID_00647	CDS			FlgN protein
BDKBJLID_00647	gene			
BDKBJLID_00648	CDS			flagellar biosynthesis anti-sigma factor FlgM
BDKBJLID_00648	gene			
BDKBJLID_00649	CDS	fliC2		flagellin
BDKBJLID_00649	gene	fliC2		
BDKBJLID_00650	CDS			flagellar protein FlgJ
BDKBJLID_00650	gene			
BDKBJLID_00651	CDS			flagellar basal-body P-ring protein
BDKBJLID_00651	gene			
	sig_peptide			putative signal peptide
BDKBJLID_00652	CDS			flagellar L-ring protein precursor FlgH
BDKBJLID_00652	gene			
	sig_peptide			putative signal peptide
BDKBJLID_00653	CDS			flagella basal body P-ring formation protein FlgA
BDKBJLID_00653	gene			
BDKBJLID_00654	CDS			flagellar basal body rod protein(flgG)
BDKBJLID_00654	gene			
BDKBJLID_00655	CDS	flgE_1		flagellar basal body rod protein
BDKBJLID_00655	gene	flgE_1		
BDKBJLID_00656	CDS	flgE_2		flagellar basal body rod protein
BDKBJLID_00656	gene	flgE_2		
BDKBJLID_00657	CDS	mhpD		5-carboxymethyl-2-hydroxymuconate delta-isomerase
BDKBJLID_00657	gene	mhpD		
BDKBJLID_00658	CDS			dihydrodipicolinate reductase
BDKBJLID_00658	gene			
BDKBJLID_00659	CDS			dihydrodipicolinate synthase/N-acetylneuraminate lyase
BDKBJLID_00659	gene			
BDKBJLID_00660	CDS			hypothetical protein
BDKBJLID_00660	gene			
BDKBJLID_00661	CDS			diaminopimelate decarboxylase
BDKBJLID_00661	gene			
BDKBJLID_00662	CDS		4.3.2.1	argininosuccinate lyase
BDKBJLID_00662	gene			
BDKBJLID_00663	CDS	argG		argininosuccinate synthase
BDKBJLID_00663	gene	argG		
BDKBJLID_00664	CDS	argF		ornithine carbamoyltransferase
BDKBJLID_00664	gene	argF		
BDKBJLID_00665	CDS			ornithine/acetylornithine aminotransferase
BDKBJLID_00665	gene			
BDKBJLID_00666	CDS			putative potassium channel protein, TrkA
BDKBJLID_00666	gene			
BDKBJLID_00667	CDS			permease of the major facilitator superfamily protein
BDKBJLID_00667	gene			
BDKBJLID_00668	CDS			hypothetical protein
BDKBJLID_00668	gene			
BDKBJLID_00669	CDS			hypothetical protein
BDKBJLID_00669	gene			
BDKBJLID_00670	CDS			4-hydroxybenzoate polyprenyltransferase
BDKBJLID_00670	gene			
BDKBJLID_00671	CDS			chorismate lyase
BDKBJLID_00671	gene			
BDKBJLID_00672	CDS			putative radical SAM family protein
BDKBJLID_00672	gene			
BDKBJLID_00673	CDS			hypothetical protein
BDKBJLID_00673	gene			
BDKBJLID_00674	CDS			ubiquinone/menaquinone biosynthesis methyltransferase
BDKBJLID_00674	gene			
BDKBJLID_00675	CDS			Putative MetA-pathway of phenol degradation
BDKBJLID_00675	gene			
BDKBJLID_00676	CDS			exopolyphosphatase
BDKBJLID_00676	gene			
BDKBJLID_00677	CDS			thymidylate kinase
BDKBJLID_00677	gene			
BDKBJLID_00678	CDS			thymidylate kinase
BDKBJLID_00678	gene			
BDKBJLID_00679	CDS		3.2.1.14	Exochitinase 1
BDKBJLID_00679	gene			
	sig_peptide			putative signal peptide
BDKBJLID_00680	CDS			ribose 5-phosphate isomerase RpiB
BDKBJLID_00680	gene			
BDKBJLID_00681	CDS	glyA		glycine/serine hydroxymethyltransferase
BDKBJLID_00681	gene	glyA		
BDKBJLID_00682	CDS	nrdR		putative transcriptional regulator
BDKBJLID_00682	gene	nrdR		
BDKBJLID_00683	CDS	priA		primosomal protein N
BDKBJLID_00683	gene	priA		
BDKBJLID_00684	CDS			Zn-dependent protease (includes SpoIVFB)
BDKBJLID_00684	gene			
BDKBJLID_00685	CDS	fixC		dehydrogenase
BDKBJLID_00685	gene	fixC		
BDKBJLID_00686	CDS	ccdA		putative cytochrome c bio-202sis protein (CcdA)
BDKBJLID_00686	gene	ccdA		
BDKBJLID_00687	CDS			Peroxiredoxin
BDKBJLID_00687	gene			
BDKBJLID_00688	CDS			Peroxiredoxin
BDKBJLID_00688	gene			
BDKBJLID_00689	CDS			putative cytochrome c biogenesis protein
BDKBJLID_00689	gene			
BDKBJLID_00690	CDS			ResB protein required for cytochrome c biosynthesis
BDKBJLID_00690	gene			
BDKBJLID_00691	CDS			putative ABC transporter
BDKBJLID_00691	gene			
BDKBJLID_00692	CDS			ABC transporter ATP-binding protein
BDKBJLID_00692	gene			
BDKBJLID_00693	CDS			putative integral membrane protein
BDKBJLID_00693	gene			
BDKBJLID_00694	CDS			alanine racemase
BDKBJLID_00694	gene			
BDKBJLID_00695	CDS	frr		ribosome recycling factor
BDKBJLID_00695	gene	frr		
BDKBJLID_00696	CDS			uridylate kinase
BDKBJLID_00696	gene			
BDKBJLID_00697	CDS	tsf		elongation factor Ts
BDKBJLID_00697	gene	tsf		
BDKBJLID_00698	CDS	rpsB		ribosomal protein S2
BDKBJLID_00698	gene	rpsB		
BDKBJLID_00699	CDS	argJ		N-acetylglutamate synthase
BDKBJLID_00699	gene	argJ		
BDKBJLID_00700	CDS	argC	1.2.1.38	N-acetyl-gamma-glutamyl-phosphate reductase
BDKBJLID_00700	gene	argC		
BDKBJLID_00701	CDS	rpsI		ribosomal protein S9
BDKBJLID_00701	gene	rpsI		
BDKBJLID_00702	CDS	rplM		ribosomal protein L13
BDKBJLID_00702	gene	rplM		
BDKBJLID_00703	CDS			putative cobalamin B12-binding/Radical SAM family protein
BDKBJLID_00703	gene			
BDKBJLID_00704	CDS			ferredoxin
BDKBJLID_00704	gene			
BDKBJLID_00705	CDS			hypothetical protein
BDKBJLID_00705	gene			
BDKBJLID_00706	CDS			putative dihydroneopterin aldolase
BDKBJLID_00706	gene			
BDKBJLID_00707	CDS			protein NrfD
BDKBJLID_00707	gene			
BDKBJLID_00708	CDS			ribonuclease G
BDKBJLID_00708	gene			
BDKBJLID_00709	CDS			rod shape-determining protein rodA
BDKBJLID_00709	gene			
BDKBJLID_00710	CDS			cell division protein FtsI/penicillin-binding protein 2
BDKBJLID_00710	gene			
BDKBJLID_00711	CDS			hypothetical protein
BDKBJLID_00711	gene			
BDKBJLID_00712	CDS			cell shape-determining protein
BDKBJLID_00712	gene			
BDKBJLID_00713	CDS	mreB		actin-like ATPase involved in cell morphogenesis
BDKBJLID_00713	gene	mreB		
BDKBJLID_00714	CDS			RDD family protein
BDKBJLID_00714	gene			
BDKBJLID_00715	CDS	rpe		ribulose-phosphate 3-epimerase
BDKBJLID_00715	gene	rpe		
BDKBJLID_00716	CDS			Zn-dependent protease with chaperone product
BDKBJLID_00716	gene			
BDKBJLID_00717	CDS	fmt		methionyl-tRNA formyltransferase
BDKBJLID_00717	gene	fmt		
BDKBJLID_00718	CDS	def1		N-formylmethionyl-tRNA deformylase
BDKBJLID_00718	gene	def1		
BDKBJLID_00719	CDS			hypothetical protein
BDKBJLID_00719	gene			
	sig_peptide			putative signal peptide
BDKBJLID_00720	CDS			putative carboxylesterase
BDKBJLID_00720	gene			
BDKBJLID_00721	CDS			hypothetical protein
BDKBJLID_00721	gene			
BDKBJLID_00722	CDS	vgb	4.2.99.-	Virginiamycin B lyase
BDKBJLID_00722	gene	vgb		
	sig_peptide			putative signal peptide
BDKBJLID_00723	CDS			hypothetical protein
BDKBJLID_00723	gene			
BDKBJLID_00724	CDS	trxB		thioredoxin reductase
BDKBJLID_00724	gene	trxB		
BDKBJLID_00725	CDS			putative outer membrane efflux protein
BDKBJLID_00725	gene			
	sig_peptide			putative signal peptide
BDKBJLID_00726	CDS			membrane-fusion protein
BDKBJLID_00726	gene			
BDKBJLID_00727	CDS			two component,sigma54 specific,transcriptional regulator, Fis family
BDKBJLID_00727	gene			
BDKBJLID_00728	CDS			folate-binding protein YgfZ
BDKBJLID_00728	gene			
BDKBJLID_00729	CDS			cation/multidrug efflux pump
BDKBJLID_00729	gene			
BDKBJLID_00730	CDS			membrane-fusion protein
BDKBJLID_00730	gene			
BDKBJLID_00731	CDS			putative glycoside hydrolase, family 57
BDKBJLID_00731	gene			
BDKBJLID_00732	CDS			Putative aldolase
BDKBJLID_00732	gene			
BDKBJLID_00733	CDS			galactose-1-phosphate uridylyltransferase
BDKBJLID_00733	gene			
BDKBJLID_00734	CDS			4-alpha-glucanotransferase
BDKBJLID_00734	gene			
BDKBJLID_00735	CDS			4-alpha-glucanotransferase
BDKBJLID_00735	gene			
BDKBJLID_00736	CDS			alpha-amylase/alpha-mannosidase
BDKBJLID_00736	gene			
BDKBJLID_00737	CDS			glucose-1-phosphate adenylyltransferase
BDKBJLID_00737	gene			
BDKBJLID_00738	CDS			hypothetical protein
BDKBJLID_00738	gene			
BDKBJLID_00739	CDS			putative rieske iron-sulfur family protein
BDKBJLID_00739	gene			
BDKBJLID_00740	CDS			putative O-methyltransferase
BDKBJLID_00740	gene			
BDKBJLID_00741	CDS	pepQ2		Xaa-Pro aminopeptidase
BDKBJLID_00741	gene	pepQ2		
BDKBJLID_00742	CDS			NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family
BDKBJLID_00742	gene			
BDKBJLID_00743	CDS	cusB		putative secretion protein HlyD
BDKBJLID_00743	gene	cusB		
BDKBJLID_00744	CDS			putative acriflavin resistance protein
BDKBJLID_00744	gene			
BDKBJLID_00745	tRNA			tRNA-Val(gac)
BDKBJLID_00745	gene			
BDKBJLID_00746	CDS			nucleoid DNA-binding protein
BDKBJLID_00746	gene			
BDKBJLID_00747	CDS			putative bacterial regulatory protein, Fis family
BDKBJLID_00747	gene			
BDKBJLID_00748	CDS	clpB		ATPase with chaperone activity, ATP-binding subunit
BDKBJLID_00748	gene	clpB		
BDKBJLID_00749	CDS			MerR family transcriptional regulator, heat shock protein HspR
BDKBJLID_00749	gene			
BDKBJLID_00750	CDS			DnaJ-class molecular chaperone
BDKBJLID_00750	gene			
BDKBJLID_00751	CDS			L-aspartate oxidase
BDKBJLID_00751	gene			
BDKBJLID_00752	CDS			hypothetical protein
BDKBJLID_00752	gene			
BDKBJLID_00753	CDS	gltX		glutamyl- and glutaminyl-tRNA synthetase
BDKBJLID_00753	gene	gltX		
BDKBJLID_00754	CDS			Phosphate-starvation-inducible E
BDKBJLID_00754	gene			
BDKBJLID_00755	CDS			putative hydrolase of the HAD superfamily protein
BDKBJLID_00755	gene			
BDKBJLID_00756	CDS			CO dehydrogenase beta subunit/acetyl-CoA synthase epsilon subunit
BDKBJLID_00756	gene			
BDKBJLID_00757	CDS			hypothetical protein
BDKBJLID_00757	gene			
BDKBJLID_00758	CDS			pyruvate ferredoxin oxidoreductase
BDKBJLID_00758	gene			
BDKBJLID_00759	CDS	forG1		Pyruvate:ferredoxin oxidoreductase gamma subunit
BDKBJLID_00759	gene	forG1		
BDKBJLID_00760	CDS			Pyruvate ferredoxin oxidoreductase
BDKBJLID_00760	gene			
BDKBJLID_00761	CDS			Pyruvate ferredoxin oxidoreductase
BDKBJLID_00761	gene			
BDKBJLID_00762	CDS			hypothetical protein
BDKBJLID_00762	gene			
BDKBJLID_00763	CDS			pyruvate ferredoxin oxidoreductase
BDKBJLID_00763	gene			
BDKBJLID_00764	CDS	forG2		pyruvate ferredoxin oxidoreductase gamma subunit
BDKBJLID_00764	gene	forG2		
BDKBJLID_00765	CDS	forB2		Pyruvate synthase beta subunit/ Pyruvate ferredoxin oxidoreductase
BDKBJLID_00765	gene	forB2		
BDKBJLID_00766	CDS	forA2		pyruvate:ferredoxin oxidoreductase alpha subunit
BDKBJLID_00766	gene	forA2		
BDKBJLID_00767	CDS			DnaJ domain-containing protein
BDKBJLID_00767	gene			
BDKBJLID_00768	CDS			hypothetical protein
BDKBJLID_00768	gene			
BDKBJLID_00769	CDS			glutamate-1-semialdehyde aminotransferase
BDKBJLID_00769	gene			
BDKBJLID_00770	CDS	gmhA		phosphoheptose isomerase
BDKBJLID_00770	gene	gmhA		
BDKBJLID_00771	CDS			ADP-heptose synthase, biproductal sugar kinase/a denylyltransferase
BDKBJLID_00771	gene			
BDKBJLID_00772	CDS	mfd	3.6.4.-	transcription-repair coupling factor
BDKBJLID_00772	gene	mfd		
BDKBJLID_00773	CDS			Parvulin-like peptidyl-prolyl isomerase
	sig_peptide			putative signal peptide
BDKBJLID_00773	gene			
BDKBJLID_00774	CDS		5.2.1.8	peptidyl-prolyl cis-trans isomerase C
BDKBJLID_00774	gene			
BDKBJLID_00775	CDS			parvulin peptidyl-prolyl isomerase
	sig_peptide			putative signal peptide
BDKBJLID_00775	gene			
BDKBJLID_00776	CDS			GTP-binding protein
BDKBJLID_00776	gene			
BDKBJLID_00777	CDS			anhydro-N-acetylmuramic acid kinase
BDKBJLID_00777	gene			
BDKBJLID_00778	CDS		2.7.7.13	mannose-1-phosphate guanylyltransferase / phosphomannomutase
BDKBJLID_00778	gene			
BDKBJLID_00779	CDS			putative aminoglycoside phosphotransferase
BDKBJLID_00779	gene			
BDKBJLID_00780	CDS			putative membrane protein
BDKBJLID_00780	gene			
BDKBJLID_00781	CDS		4.2.99.18	DNA-(apurinic or apyrimidinic site) lyase
BDKBJLID_00781	gene			
BDKBJLID_00782	CDS			Bacterial regulatory helix-turn-helix protein, lysR family
BDKBJLID_00782	gene			
BDKBJLID_00783	tRNA			tRNA-Val(cac)
BDKBJLID_00783	gene			
BDKBJLID_00784	CDS	ileS		isoleucyl-tRNA synthetase
BDKBJLID_00784	gene	ileS		
BDKBJLID_00785	CDS	lspA		signal peptidase II
BDKBJLID_00785	gene	lspA		
BDKBJLID_00786	CDS			putative TPR domain-containing protein
BDKBJLID_00786	gene			
BDKBJLID_00787	CDS		5.4.99.23	23S rRNA/1915/1917 synthase
BDKBJLID_00787	gene			
BDKBJLID_00788	CDS			hypothetical protein
BDKBJLID_00788	gene			
BDKBJLID_00789	CDS	ispB		geranylgeranyl pyrophosphate synthase
BDKBJLID_00789	gene	ispB		
BDKBJLID_00790	CDS			hypothetical protein
BDKBJLID_00790	gene			
BDKBJLID_00791	CDS			putative peptidase M50 family protein
BDKBJLID_00791	gene			
BDKBJLID_00792	CDS		3.1.3.25	myo-inositol-1(or 4)-monophosphatase
BDKBJLID_00792	gene			
BDKBJLID_00793	CDS			hypothetical protein
BDKBJLID_00793	gene			
BDKBJLID_00794	CDS			phosphoenolpyruvate carboxylase
BDKBJLID_00794	gene			
BDKBJLID_00795	CDS			hypothetical protein
BDKBJLID_00795	gene			
BDKBJLID_00796	CDS			UDP-3-O-acyl-N-acetylglucosamine deacetylase
BDKBJLID_00796	gene			
BDKBJLID_00797	CDS			hypothetical protein
BDKBJLID_00797	gene			
BDKBJLID_00798	CDS			hypothetical protein
BDKBJLID_00798	gene			
BDKBJLID_00799	CDS			ferredoxin
BDKBJLID_00799	gene			
BDKBJLID_00800	CDS			TusA-related sulfurtransferase
BDKBJLID_00800	gene			
BDKBJLID_00801	CDS			hypothetical protein
BDKBJLID_00801	gene			
BDKBJLID_00802	CDS	rnc		dsRNA-specific ribonuclease
BDKBJLID_00802	gene	rnc		
BDKBJLID_00803	CDS			DNA polymerase III, epsilon subunit
BDKBJLID_00803	gene			
BDKBJLID_00804	CDS			putative tRNA(5-methylaminomethyl-2-thiouridylat e) methyltransferase
BDKBJLID_00804	gene			
BDKBJLID_00805	CDS			integral membrane protein CcmA involved in cell shape determination
BDKBJLID_00805	gene			
BDKBJLID_00806	CDS			putative transcriptional regulator
BDKBJLID_00806	gene			
BDKBJLID_00807	CDS			ATPase involved in chromosome partitioning
BDKBJLID_00807	gene			
BDKBJLID_00808	CDS		2.1.1.170	16S rRNA (guanine527-N7)-methyltransferase
BDKBJLID_00808	gene			
BDKBJLID_00809	CDS	gidA_1		tRNA uridine 5-carboxymethylaminomethyl modification protein
BDKBJLID_00809	gene	gidA_1		
BDKBJLID_00810	CDS	gidA_2		tRNA uridine 5-carboxymethylaminomethyl modification protein
BDKBJLID_00810	gene	gidA_2		
BDKBJLID_00811	CDS	mnmE		tRNA modification GTPase
BDKBJLID_00811	gene	mnmE		
BDKBJLID_00812	CDS			preprotein translocase subunit YidC
BDKBJLID_00812	gene			
BDKBJLID_00813	CDS	rplI		ribosomal protein L9
BDKBJLID_00813	gene	rplI		
BDKBJLID_00814	CDS			Transposase DDE domain group 1
BDKBJLID_00814	gene			
BDKBJLID_00815	CDS			Transposase DDE domain group 1
BDKBJLID_00815	gene			
BDKBJLID_00816	CDS	mscL		large conductance mechanosensitive channel
BDKBJLID_00816	gene	mscL		
BDKBJLID_00817	CDS			putative metal-dependent hydrolase
BDKBJLID_00817	gene			
BDKBJLID_00818	CDS			cobalamin biosynthesis protein CbiD
BDKBJLID_00818	gene			
BDKBJLID_00819	CDS		2.1.1.132	precorrin-6Y C5,15-methyltransferase (decarboxylating)
BDKBJLID_00819	gene			
BDKBJLID_00820	CDS	cobL		precorrin-6B methylase 2
BDKBJLID_00820	gene	cobL		
BDKBJLID_00821	CDS	cbiG		cobalamin biosynthesis protein CbiG
BDKBJLID_00821	gene	cbiG		
BDKBJLID_00822	CDS			precorrin-3B methylase
BDKBJLID_00822	gene			
BDKBJLID_00823	CDS	btuR		ATP corrinoid adenosyltransferase
BDKBJLID_00823	gene	btuR		
BDKBJLID_00824	CDS	def2		N-formylmethionyl-tRNA deformylase
BDKBJLID_00824	gene	def2		
BDKBJLID_00825	CDS	pyrF		orotidine-5'-phosphate decarboxylase
BDKBJLID_00825	gene	pyrF		
BDKBJLID_00826	CDS			ribosomal protein L11 methylase
BDKBJLID_00826	gene			
BDKBJLID_00827	CDS			secondary thiamine-phosphate synthase enzyme
BDKBJLID_00827	gene			
BDKBJLID_00828	CDS			putative redoxin domain protein
BDKBJLID_00828	gene			
BDKBJLID_00829	CDS		6.5.1.-	2'-5' RNA ligase
BDKBJLID_00829	gene			
BDKBJLID_00830	CDS			Permease of the drug/metabolite transporter (DMT) superfamily protein
BDKBJLID_00830	gene			
BDKBJLID_00831	CDS	pstS-1		phosphate transport system substrate-binding protein
BDKBJLID_00831	gene	pstS-1		
BDKBJLID_00832	CDS			hypothetical protein
BDKBJLID_00832	gene			
BDKBJLID_00833	CDS			ribulose 1,5-bisphosphate carboxylase, large subunit
BDKBJLID_00833	gene			
BDKBJLID_00834	CDS			hopanoid C-3 methylase HpnR
BDKBJLID_00834	gene			
BDKBJLID_00835	CDS			TPR repeat-containing protein
	sig_peptide			putative signal peptide
BDKBJLID_00835	gene			
BDKBJLID_00836	CDS			TPR repeat-containing protein
	sig_peptide			putative signal peptide
BDKBJLID_00836	gene			
BDKBJLID_00837	CDS			Putative MetA-pathway of phenol degradation
BDKBJLID_00837	gene			
BDKBJLID_00838	CDS			hypothetical protein
BDKBJLID_00838	gene			
BDKBJLID_00839	CDS			putative glyoxalase/bleomycin resistance protein
BDKBJLID_00839	gene			
BDKBJLID_00840	CDS			putative CO dehydrogenase beta subunit/acetyl-CoA synthase, epsilon subunit
BDKBJLID_00840	gene			
BDKBJLID_00841	CDS			hypothetical protein
BDKBJLID_00841	gene			
BDKBJLID_00842	CDS			hypothetical protein
BDKBJLID_00842	gene			
BDKBJLID_00843	CDS			quinolinate synthetase
BDKBJLID_00843	gene			
BDKBJLID_00844	CDS	asd		aspartate-semialdehyde dehydrogenase
BDKBJLID_00844	gene	asd		
BDKBJLID_00845	CDS			3-isopropylmalate dehydrogenase
BDKBJLID_00845	gene			
BDKBJLID_00846	CDS	leuA		2-isopropylmalate synthase
BDKBJLID_00846	gene	leuA		
BDKBJLID_00847	CDS			CDP-diacylglycerol-serine O- phosphatidyltransferase
BDKBJLID_00847	gene			
BDKBJLID_00848	CDS			phosphatidylserine decarboxylase
BDKBJLID_00848	gene			
BDKBJLID_00849	CDS			ketol-acid reductoisomerase
BDKBJLID_00849	gene			
BDKBJLID_00850	CDS	ilvB	2.2.1.6	acetolactate synthase, large subunit
BDKBJLID_00850	gene	ilvB		
BDKBJLID_00851	CDS	dnaA		chromosomal replication initiator protein dnaA
BDKBJLID_00851	gene	dnaA		
BDKBJLID_00852	CDS			DNA polymerase sliding clamp subunit
BDKBJLID_00852	gene			
BDKBJLID_00853	CDS	gyrB		type IIA topoisomerase, B subunit
BDKBJLID_00853	gene	gyrB		
BDKBJLID_00854	CDS	gyrA		type IIA topoisomerase, A subunit
BDKBJLID_00854	gene	gyrA		
BDKBJLID_00855	CDS			Tetratricopeptide repeat-containing protein
	sig_peptide			putative signal peptide
BDKBJLID_00855	gene			
BDKBJLID_00856	CDS		4.3.99.3	7-carboxy-7-deazaguanine synthase
BDKBJLID_00856	gene			
BDKBJLID_00857	CDS	exsB		ExsB
BDKBJLID_00857	gene	exsB		
BDKBJLID_00858	CDS			leucyl aminopeptidase
BDKBJLID_00858	gene			
BDKBJLID_00859	CDS			tmRNA-binding protein
BDKBJLID_00859	gene			
BDKBJLID_00860	tmRNA	ssrA		transfer-messenger RNA, SsrA
BDKBJLID_00861	misc_RNA			tmRNA
BDKBJLID_00860	gene	ssrA		
BDKBJLID_00861	gene			
BDKBJLID_00862	CDS			HNH endonuclease
BDKBJLID_00862	gene			
BDKBJLID_00863	CDS			hypothetical protein
BDKBJLID_00863	gene			
BDKBJLID_00864	CDS			virulence factor
BDKBJLID_00864	gene			
BDKBJLID_00865	CDS			Transposase
BDKBJLID_00865	gene			
BDKBJLID_00866	CDS			putative transposase
BDKBJLID_00866	gene			
BDKBJLID_00867	CDS			Plasmid maintenance system killer protein
BDKBJLID_00867	gene			
BDKBJLID_00868	CDS			hypothetical protein
BDKBJLID_00868	gene			
